"","Women","Number","Oldest.Youngest","Men","Number.1","Oldest.Youngest.1"
"336","Kornilie",5,"1941 2008 ","Kasper",77,"1923 2010"
"337","Krista",7,"1967 2007 ","Keld",11,"1942 1999"
"338","Kristiane",76,"1924 2010 ","Kelvin",6,"1980 2005"
"339","Kristina",33,"1930 2010 ","Ken",13,"1965 2008"
"340","Kristine",213,"1916 2010 ","Kenn",6,"1948 2004"
"341","Kuka",11,"1957 2010 ","Kenneth",44,"1961 2009"
"342","Kuluk",8,"1965 2010 ","Kenny",9,"1963 2010"
"343","Kulunguak",5,"1978 1991 ","Kent",19,"1937 2010"
"344","Kulunnguaq",28,"1973 2010 ","Kevin",47,"1952 2010"
"345","Kuuna",7,"1964 2006 ","Kian",7,"2002 2010"
"346","Laannguaq",5,"1989 1996 ","Kim",130,"1946 2010"
"347","Laila",116,"1951 2009 ","Kjeld",16,"1941 2009"
"348","Lajla",5,"1954 2003 ","Klaus",94,"1932 2010"
"349","Lana",12,"1954 2010 ","Klemens",7,"1927 2009"
"350","Lara",5,"1981 2008 ","Knud",306,"1928 2010"
"351","Larsigne",9,"1946 2006 ","Knud-Erik",5,"1954 1999"
"352","Larsine",56,"1937 2010 ","Konrad",44,"1925 2010"
"353","Laura",75,"1931 2010 ","Kornelius",17,"1925 2009"
"354","Lea",87,"1923 2010 ","Kresten",7,"1940 2002"
"355","Lena",40,"1944 2010 ","Kristen",29,"1928 2009"
"356","Lene",46,"1921 2008 ","Kristian",479,"1920 2010"
"357","Lili",7,"1956 2000 ","Kristoffer",45,"1925 2010"
"358","Lilian",7,"1956 1999 ","Kuka",7,"1991 2006"
"359","Lillian",25,"1957 2010 ","Kuluk",36,"1955 2010"
"360","Lina",6,"1931 2010 ","Kuno",10,"1957 2007"
"361","Linda",57,"1947 2010 ","Kunuk",57,"1955 2010"
"362","Line",24,"1933 2005 ","Kununguak",7,"1952 1988"
"363","Lis",13,"1952 1999 ","Kununguaq",11,"1944 1989"
"364","Lisa",57,"1928 2010 ","Kunuunnguaq",14,"1948 2010"
"365","Lisbeth",31,"1953 2007 ","Kurt",35,"1940 2008"
"366","Lise",26,"1930 2008 ","Laasi",6,"1977 2009"
"367","Liv",7,"1978 2009 ","Laban",5,"1934 2001"
"368","Lona",18,"1940 2010 ","Lars",576,"1925 2010"
"369","Lone",46,"1933 2009 ","Lars-Karl",5,"1948 1994"
"370","Lotte",21,"1948 2008 ","Lars-Ole",7,"1978 2004"
"371","Louisa",10,"1926 2010 ","Lars-Peter",22,"1941 2010"
"372","Louise",206,"1917 2010 ","Larserak",6,"1941 1996"
"373","Lucia",18,"1931 2010 ","Larseraq",15,"1938 1997"
"374","Lucie",13,"1927 2009 ","Lasarus",6,"1928 2009"
"375","Ludvikka",5,"1926 1999 ","Lasse",28,"1944 2009"
"376","Lulu",13,"1967 2009 ","Laurits",11,"1944 2003"
"377","Luna",10,"1945 2010 ","Lauritz",20,"1924 2010"
"378","Lydia",28,"1932 2009 ","Lean",5,"2000 2008"
"379","Lydie",31,"1924 2006 ","Leif",40,"1940 2010"
"380","Lykke",12,"1948 2010 ","Leo",30,"1946 2010"
"381","Maalia",11,"1960 2009 ","Leon",5,"1946 2010"
"382","Maaliannguaq",7,"1941 2009 ","Levi",13,"1931 2008"
"383","Maannguaq",16,"1985 2008 ","Liam",9,"1999 2010"
"384","Magda",5,"1931 1999 ","Looqi",7,"1963 2006"
"385","Magdalene",69,"1925 2010 ","Louis",71,"1932 2010"
"386","Magdaline",86,"1923 2010 ","Lucas",18,"1956 2010"
"388","Maja",73,"1963 2010 ","Ludvig",142,"1918 2010"
"389","Majbritt",9,"1961 2002 ","Lukas",29,"1930 2010"
"390","Makka",8,"1951 2008 ","Maasi",10,"1984 2008"
"391","Makkak",9,"1955 2008 ","Maasinnguaq",6,"1971 2009"
"392","Makkannguaq",7,"1980 2000 ","Maassannguaq",19,"1985 2009"
"393","Malena",7,"1947 2009 ","Mads",104,"1936 2010"
"394","Malene",71,"1924 2010 ","Magnus",40,"1931 2010"
"395","Malia",7,"1941 2010 ","Magssanguaq",10,"1925 1994"
"396","Maliina",20,"1982 2010 ","Mala",9,"1957 2010"
"397","Malina",18,"1949 2005 ","Malakias",15,"1934 2009"
"398","Maline",25,"1926 2010 ","Maligiaq",28,"1982 2010"
"399","Malo",6,"1955 2003 ","Malik",303,"1966 2010"
"400","Malou",18,"1985 2010 ","Malinnguaq",9,"1984 2009"
"401","Malu",78,"1971 2010 ","Mamarut",9,"1957 2007"
"402","Malvine",7,"1946 2005 ","Manasse",30,"1923 2005"
"403","Manguak",5,"1980 1987 ","Manu",13,"1986 2009"
"404","Manumina",14,"1960 2009 ","Marc",9,"1953 2010"
"405","Maren",135,"1919 2010 ","Marco",16,"1987 2009"
"406","Margit",20,"1942 2009 ","Marcus",11,"1933 2010"
"407","Margrethe",247,"1910 2010 ","Mario",15,"1969 2009"
"408","Mari",6,"1971 2010 ","Marius",130,"1924 2010"
"409","Maria",64,"1926 2010 ","Mark",20,"1968 2010"
"410","Mariane",68,"1916 2009 ","Markus",56,"1923 2010"
"411","Marianne",86,"1928 2010 ","Marthin",7,"1939 2006"
"412","Marie",475,"1914 2010 ","Martin",197,"1923 2010"
"413","Marie-Louise",10,"1953 2010 ","Masauna",9,"1940 2010"
"414","Mariette",5,"1941 2010 ","Massanti",9,"1940 2010"
"415","Marina",6,"1962 2009 ","Mathias",142,"1928 2010"
"416","Marita",6,"1970 2008 ","Mathæus",26,"1929 2010"
"417","Maritha",7,"1924 2009 ","Mati",11,"1958 2010"
"418","Martha",148,"1917 2010 ","Max",17,"1941 2009"
"419","Marthine",19,"1931 1995 ","Michael",129,"1938 2010"
"420","Martine",36,"1929 2010 ","Mick",6,"1957 2008"
"421","Mathilda",16,"1925 2010 ","Miilu",34,"1929 2010"
"422","Mathilde",20,"1924 2008 ","Mika",26,"1936 2010"
"423","Maya",27,"1980 2010 ","Mikael",158,"1928 2010"
"424","Maybritt",5,"1950 2004 ","Mike",53,"1940 2010"
"425","Melissa",9,"1979 2010 ","Miki",123,"1933 2010"
"426","Meqo",6,"1938 1988 ","Mikisoq",14,"1978 2010"
"427","Merab",11,"1930 1995 ","Mikisuluk",13,"1971 2010"
"428","Merete",6,"1942 1982 ","Mikkel",96,"1926 2010"
"429","Mette",145,"1925 2010 ","Milan",21,"1968 2010"
"430","Mette-Marie",9,"1966 2005 ","Milo",13,"1989 2010"
"431","Mia",59,"1949 2010 ","Minik",136,"1966 2010"
"432","Michaela",7,"1973 2010 ","Mininnguaq",10,"1989 2009"
"433","Michelle",10,"1974 2009 ","Miteq",5,"1949 2008"
"434","Mie",7,"1966 1997 ","Mogens",31,"1929 2010"
"435","Miiannguaq",5,"1989 2010 ","Morten",96,"1930 2009"
"436","Mikaela",7,"1956 2010 ","Morthen",20,"1930 2010"
"437","Miki",5,"1948 2006 ","Moses",46,"1929 2010"
"438","Mikol",13,"1934 2006 ","Nanoq",6,"1980 2010"
"439","Milka",5,"1933 2007 ","Nathan",35,"1935 2010"
"440","Milla",6,"1999 2009 ","Nathaniel",20,"1930 2010"
"441","Mille",10,"1935 2010 ","Nehemias",5,"1962 2005"
"442","Mimi",5,"1957 2007 ","Nichlas",5,"1977 2008"
"443","Mina",58,"1936 2010 ","Nicholas",7,"1990 2010"
"445","Mine",26,"1931 2009 ","Nick",55,"1970 2010"
"446","Mira",9,"1950 2009 ","Nicki",15,"1988 2010"
"447","Mona",54,"1941 2010 ","Nicklas",32,"1994 2010"
"448","Monica",16,"1932 2010 ","Niclas",13,"1939 2010"
"449","Monika",23,"1952 2010 ","Nicolai",13,"1941 2009"
"450","Naalu",6,"1968 2005 ","Nicolaj",8,"1939 2008"
"451","Naasunnguaq",79,"1981 2010 ","Nicolas",10,"1982 2010"
"452","Nadia",24,"1989 2010 ","Niels",521,"1923 2010"
"453","Nadine",5,"1961 2006 ","Niels-Ole",6,"1946 2007"
"454","Nadja",9,"1985 2005 ","Nielseraq",5,"1945 2004"
"455","Naduk",30,"1950 2010 ","Nikki",69,"1981 2010"
"456","Naja",217,"1925 2010 ","Nikku",5,"1974 2009"
"457","Naja-Nuka",14,"1981 2009 ","Nikkulaannguaq",6,"1988 2004"
"458","Najaaja",9,"1990 2009 ","Niklas",14,"1964 2010"
"459","Najaaraq",76,"1957 2010 ","Nikolai",18,"1935 2010"
"460","Najanguak",13,"1962 1986 ","Nikolaj",157,"1927 2010"
"461","Najanguaq",12,"1951 1990 ","Nils",5,"1952 1998"
"462","Najannguaq",74,"1963 2010 ","Nino",10,"1975 2010"
"463","Najarak",21,"1950 1985 ","Nis",5,"1945 1985"
"464","Najaraq",36,"1932 1992 ","Noa",6,"1954 2007"
"465","Najatta",5,"1965 2005 ","Noah",29,"1933 2010"
"466","Najattaannguaq",19,"1982 2010 ","Norsaq",14,"1989 2009"
"467","Najattaaq",8,"1964 2010 ","Nuka",201,"1934 2010"
"468","Nana",6,"1958 2003 ","Nuka-Peter",5,"1995 2010"
"469","Nancy",7,"1984 2008 ","Nukaaka",6,"1989 2008"
"470","Nanna",50,"1949 2010 ","Nukaaraq",37,"1960 2010"
"471","Natasha",10,"1986 2010 ","Nukagpianguak",6,"1980 1983"
"472","Natasja",13,"1984 2010 ","Nukanguak",7,"1957 1985"
"473","Nathalia",7,"1940 2009 ","Nukanguaq",12,"1952 1994"
"474","Nathalie",7,"1979 2009 ","Nukannguaq",67,"1965 2010"
"475","Natuk",42,"1965 2010 ","Nukappi",5,"1996 2009"
"476","Nauja",24,"1947 2009 ","Nukappiaaluk",16,"1987 2009"
"477","Navarana",34,"1934 2010 ","Nukappiannguaq",12,"1981 2007"
"478","Nette",5,"1942 1998 ","Nukappiaraq",8,"1986 2010"
"479","Nicoline",6,"1928 2010 ","Nukarak",6,"1925 1983"
"480","Nielsigne",5,"1961 2010 ","Nukaraq",6,"1944 2009"
"481","Nielsine",70,"1932 2010 ","Nukarleq",8,"1984 2009"
"482","Nikoline",60,"1929 2010 ","Nuunu",18,"1958 2010"
"483","Nina",101,"1956 2010 ","Odaq",5,"1955 2010"
"484","Nini",9,"1956 2009 ","Olaf",12,"1933 2008"
"485","Ninna",8,"1955 2002 ","Olav",8,"1951 2006"
"486","Ninni",5,"1988 2010 ","Ole",469,"1923 2010"
"487","Nive",16,"1962 2009 ","Oleeraq",5,"1990 2007"
"488","Nivi",139,"1962 2010 ","Oleraq",5,"1942 1990"
"489","Niviaaluk",8,"1983 2008 ","Oliver",11,"1967 2010"
"490","Niviana",7,"2002 2009 ","Oluf",23,"1942 2010"
"491","Niviaq",54,"1981 2010 ","Orla",9,"1938 2000"
"492","Nivikka",30,"1982 2010 ","Oscar",10,"1934 2010"
"493","Nivikkannguaq",7,"1981 2005 ","Oskar",7,"1935 2010"
"494","Nivinnguaq",6,"1990 2006 ","Otto",192,"1923 2010"
"495","Nora",16,"1941 2010 ","Ove",59,"1929 2010"
"496","Nuka",94,"1933 2010 ","Paalu",13,"1965 2010"
"497","Nukaaka",31,"1987 2009 ","Pakkutaq",7,"1993 2010"
"498","Nukaaraq",24,"1965 2009 ","Palle",28,"1928 2010"
"499","Nukakkuluk",7,"1986 2010 ","Palleq",7,"1988 2008"
"500","Nukanguak",5,"1972 2003 ","Palu",14,"1986 2009"
"502","Nukanguaq",8,"1958 1996 ","Panigpak",5,"1950 2004"
"503","Nukannguaq",41,"1966 2010 ","Patrick",15,"1949 2010"
"504","Nukaraq",10,"1945 1989 ","Paul",21,"1934 2010"
"505","Nukarleq",7,"1984 2009 ","Pauli",5,"1959 2002"
"506","Nukarta",5,"1941 1992 ","Paulus",53,"1923 2010"
"507","Nunni",7,"1979 2010 ","Pavia",156,"1923 2010"
"508","Nuno",7,"1972 2010 ","Paviaraq",5,"1954 1987"
"509","Nuuni",9,"1974 2009 ","Paw",5,"1968 1988"
"510","Nuunu",35,"1953 2010 ","Peder",14,"1939 2006"
"511","Nûno",5,"1969 1994 ","Pele",80,"1924 2010"
"512","Oktavia",6,"1958 2006 ","Per",109,"1938 2008"
"513","Olava",7,"1930 2006 ","Peter",671,"1924 2010"
"514","Olga",18,"1939 2010 ","Petrus",17,"1929 2008"
"515","Olina",6,"1957 2009 ","Philip",15,"1966 2010"
"516","Oline",105,"1925 2010 ","Phillip",6,"1997 2010"
"517","Olivia",13,"1938 2007 ","Piitaaraq",14,"1971 2009"
"518","Orpa",19,"1938 2010 ","Piitannguaq",9,"1960 2009"
"519","Othelie",5,"1945 1991 ","Pilu",8,"1979 2010"
"520","Ottilie",14,"1930 2001 ","Pilutak",5,"1947 1984"
"521","Paarma",11,"1982 2008 ","Pilutaq",27,"1950 2010"
"522","Paarnannguaq",45,"1955 2009 ","Pitanguaq",12,"1934 1975"
"523","Paarnaq",16,"1966 2009 ","Pitarak",5,"1955 1981"
"524","Pakkutaq",5,"1982 2008 ","Pitaraq",13,"1949 1996"
"525","Paneeraq",51,"1958 2010 ","Poul",224,"1928 2010"
"526","Panerak",11,"1961 1991 ","Poul-Erik",7,"1954 2005"
"527","Paneraq",11,"1948 1985 ","Povl",5,"1932 1996"
"528","Pani",15,"1964 2010 ","Preben",38,"1941 2010"
"529","Panik",15,"1963 2010 ","Putdlaq",5,"1947 2000"
"530","Paninguak",21,"1966 1991 ","Qarsoq",8,"1989 2010"
"531","Paninguaq",21,"1961 2004 ","Qillaq",63,"1967 2010"
"532","Paninnguaq",170,"1974 2010 ","Qisunnguaq",7,"1987 2007"
"533","Paornanguak",9,"1952 2009 ","Qulutannguaq",12,"1984 2010"
"534","Paornanguaq",9,"1960 1987 ","Qulutaq",7,"1981 2007"
"535","Parnuna",12,"1945 2008 ","Rafael",9,"1923 2010"
"536","Parnuuna",21,"1966 2010 ","Rasmus",147,"1921 2010"
"537","Patricia",5,"1977 2010 ","Reginald",8,"1964 2009"
"538","Paula",29,"1926 2010 ","Rene",94,"1946 2010"
"539","Pauline",137,"1926 2010 ","René",34,"1951 2010"
"540","Pernille",54,"1928 2010 ","Richard",13,"1931 2009"
"541","Petra",33,"1931 2010 ","Richardt",8,"1950 2010"
"542","Petrine",100,"1928 2010 ","Rico",12,"1985 2009"
"543","Pia",73,"1950 2008 ","Rink",10,"1936 2009"
"544","Pilu",22,"1976 2010 ","Robert",36,"1935 2007"
"545","Pilunguak",10,"1974 1989 ","Roberth",6,"1939 2007"
"546","Pilunguaq",11,"1965 1987 ","Robin",7,"1957 2010"
"547","Pilunnguaq",72,"1962 2010 ","Rolf",7,"1945 2008"
"548","Pipaluk",124,"1962 2010 ","Romeo",6,"1999 2010"
"549","Pitsi",6,"1964 2006 ","Rosing",5,"1933 2010"
"550","Polunika",5,"1962 2004 ","Ruben",5,"1949 2009"
"551","Pouline",11,"1932 2002 ","Rudi",6,"1945 2010"
"552","Priscilla",5,"1930 2009 ","Rudolf",16,"1938 2009"
"553","Puto",5,"1942 2009 ","Rune",36,"1971 2010"
"554","Qivioq",9,"2003 2010 ","Saamik",5,"1993 2010"
"555","Qupanuk",5,"1995 2010 ","Sakarias",33,"1923 2010"
"556","Rachel",15,"1928 2010 ","Sakkak",7,"1972 2003"
"557","Rakel",65,"1918 2010 ","Sakæus",32,"1923 2010"
"559","Randi",38,"1968 2010 ","Salik",83,"1967 2010"
"560","Rasmine",30,"1925 2009 ","Salo",6,"1948 2006"
"561","Rebekka",70,"1927 2010 ","Salomon",43,"1930 2010"
"562","Regina",12,"1939 2010 ","Samo",7,"1940 2003"
"563","Regine",106,"1919 2010 ","Samson",7,"1927 2010"
"564","Rena",17,"1962 2009 ","Samuel",80,"1919 2010"
"565","Ria",19,"1961 2007 ","Sebastian",34,"1949 2010"
"566","Rie",6,"1948 2009 ","Sebulon",7,"1934 2001"
"567","Rigmor",7,"1950 2007 ","Sechmann",6,"1937 2008"
"568","Riikki",7,"1960 1995 ","Sejer",12,"1934 2010"
"569","Rikke",43,"1964 2010 ","Sem",9,"1926 2001"
"570","Rina",15,"1939 2007 ","Semion",6,"1932 2008"
"571","Rita",60,"1948 2010 ","Sequssuna",8,"1981 2010"
"572","Ronja",5,"1999 2010 ","Seth",27,"1928 2010"
"573","Rosa",98,"1924 2010 ","Severin",19,"1933 2007"
"574","Rosannguaq",20,"1982 2010 ","Sigvard",7,"1933 2004"
"575","Rose",5,"1938 1992 ","Silas",37,"1934 2010"
"576","Rosina",6,"1950 2007 ","Simon",83,"1924 2010"
"577","Rosine",43,"1925 2009 ","Sivert",27,"1921 2010"
"578","Ruth",60,"1930 2010 ","Siverth",34,"1938 2010"
"579","Sabina",7,"1936 2008 ","Sofus",49,"1929 2010"
"580","Sabine",23,"1934 2010 ","Sorlannguaq",7,"1981 2010"
"581","Sabrina",6,"1961 2007 ","Steen",70,"1928 2008"
"582","Safine",5,"1923 1988 ","Stefan",16,"1940 2006"
"583","Sakarine",11,"1941 2010 ","Steffen",48,"1933 2010"
"584","Salome",28,"1924 2008 ","Sten",14,"1944 2006"
"585","Salomine",28,"1924 2009 ","Stephen",18,"1940 2007"
"586","Sandra",40,"1955 2010 ","Steve",20,"1974 2010"
"587","Sandy",6,"1972 2007 ","Steven",15,"1948 2010"
"588","Sanne",12,"1959 2007 ","Stig",16,"1940 2001"
"589","Sara",241,"1922 2010 ","Storm",9,"1944 2009"
"590","Sarah",16,"1942 2009 ","Suersaq",8,"1974 2010"
"591","Sascha",11,"1977 2010 ","Sune",5,"1965 2009"
"592","Sasha",5,"1995 2009 ","Suulut",11,"1965 2010"
"593","Seria",6,"1933 2004 ","Sven",5,"1961 2003"
"594","Serie",7,"1930 2010 ","Svend",109,"1929 2010"
"595","Severine",17,"1934 2006 ","Svend-Erik",5,"1944 2003"
"596","Sibylle",5,"1942 2006 ","Søren",261,"1925 2010"
"597","Sidsel",6,"1949 2003 ","Taatsiannguaq",23,"1985 2009"
"598","Signe",34,"1932 2010 ","Taatsiaq",26,"1973 2010"
"599","Sigrid",15,"1928 2007 ","Tage",17,"1932 2010"
"600","Sika",15,"1932 2010 ","Taitsianguaq",5,"1937 1993"
"601","Sikkerneq",5,"1986 2010 ","Telef",9,"1947 2010"
"602","Sikkerninnguaq",34,"1986 2010 ","Terkel",5,"1927 2009"
"603","Sikkersoq",44,"1979 2009 ","Terkild",9,"1936 1998"
"604","Silpa",6,"1937 1999 ","Thele",11,"1932 1996"
"605","Simigaq",17,"1938 2010 ","Themotheus",7,"1937 1999"
"606","Sinniisoq",9,"1986 2010 ","Themothæus",15,"1939 2009"
"607","Sofia",13,"1916 2009 ","Theodor",6,"1938 2009"
"608","Sofiannguaq",5,"1964 2007 ","Therkel",8,"1934 2010"
"609","Sofiarak",5,"1947 1990 ","Therkild",13,"1934 1996"
"610","Sofie",315,"1919 2010 ","Thomas",269,"1926 2010"
"611","Sofie-Marie",5,"1980 2006 ","Thor",15,"1936 2010"
"612","Solveig",9,"1926 2009 ","Thorkild",8,"1934 2007"
"613","Sonja",12,"1954 2009 ","Thorvald",28,"1928 2010"
"614","Sophie",7,"1950 2009 ","Thue",18,"1928 2010"
"616","Stella",24,"1939 2006 ","Tim",14,"1945 2007"
"617","Stina",25,"1944 2010 ","Timotheus",9,"1928 1993"
"618","Stine",52,"1925 2007 ","Titken",14,"1931 2010"
"619","Suna",5,"1960 1992 ","Tittus",54,"1927 2010"
"620","Susan",14,"1949 2010 ","Tobias",133,"1930 2010"
"621","Susanne",190,"1924 2010 ","Tom",42,"1937 2010"
"622","Susi",5,"1976 2010 ","Tomas",7,"1948 1998"
"623","Susie",5,"1958 1997 ","Tommy",26,"1956 2009"
"624","Susse",8,"1959 2000 ","Tonny",9,"1949 2009"
"625","Sussi",34,"1954 2006 ","Tony",18,"1968 2010"
"626","Sørine",70,"1932 2010 ","Torben",48,"1933 2009"
"627","Tabetha",9,"1930 2000 ","Tristan",9,"1994 2010"
"628","Tabia",12,"1916 2008 ","Troels",9,"1961 2009"
"629","Tabitha",7,"1936 2009 ","Tønnes",28,"1928 2009"
"630","Tanja",40,"1954 2009 ","Ujarak",10,"1942 1997"
"631","Tekla",8,"1938 2007 ","Ujarneq",8,"1971 2010"
"632","Thala",36,"1934 2009 ","Uju",5,"1963 2010"
"633","Thale",8,"1923 1996 ","Ujunguaq",13,"1963 1987"
"634","Theodora",27,"1928 2010 ","Uka",8,"1985 2010"
"635","Theresia",10,"1930 2001 ","Ulf",9,"1958 2004"
"636","Thomasine",20,"1935 2009 ","Ulloriannguaq",5,"1985 2008"
"637","Thora",30,"1926 2010 ","Ulloriaq",56,"1977 2010"
"638","Tina",81,"1953 2009 ","Ulrik",84,"1928 2010"
"639","Tine",11,"1955 2000 ","Ungaaq",16,"1981 2010"
"640","Tippu",5,"1961 2001 ","Uno",10,"1975 2010"
"641","Tobiasine",5,"1943 2007 ","Utertoq",10,"1949 2009"
"642","Tove",16,"1936 2010 ","Uvdloriak",5,"1934 2008"
"643","Trine",30,"1941 2010 ","Uvdloriaq",14,"1934 2008"
"644","Tukumeq",5,"1962 1993 ","Vagn",10,"1937 2004"
"645","Tukummeq",36,"1954 2010 ","Valdemar",20,"1933 2010"
"646","Tukumminnguaq",5,"1987 2002 ","Valerius",7,"1941 1990"
"647","Tupaarnaq",58,"1973 2010 ","Verner",12,"1938 2009"
"648","Tuparna",5,"1937 1992 ","Victor",17,"1931 2010"
"649","Tuperna",49,"1926 2010 ","Viggo",27,"1939 2010"
"650","Uiloq",54,"1982 2010 ","Viktor",6,"1959 2009"
"651","Uka",7,"1949 2010 ","Vilhelm",48,"1935 2010"
"652","Ulla",77,"1941 2010 ","Villads",12,"1928 2010"
"653","Ulrikka",26,"1926 2010 ","Ville",31,"1931 2010"
"654","Ulrikke",15,"1939 2010 ","Villiam",11,"1941 2001"
"655","Ulunnguaq",15,"1977 2007 ","Villy",9,"1938 2005"
"656","Ungaaq",6,"1985 2010 ","Vittus",79,"1929 2010"
"657","Utertunnguaq",8,"1983 2008 ","Wilhelm",14,"1926 2010"
"658","Uthilie",5,"1947 2008 ","William",51,"1923 2010"
"659","Valborg",12,"1924 2010 ","Åge",28,"1938 2009"
"660","Vanessa",5,"1982 2007 ","",NA,""
"661","Vera",44,"1947 2010 ","",NA,""
"662","Veronika",6,"1939 2005 ","",NA,""
"663","Vibeke",14,"1936 2006 ","",NA,""
"664","Victoria",29,"1955 2010 ","",NA,""
"665","Victorie",7,"1951 2010 ","",NA,""
"666","Viivi",5,"1970 2010 ","",NA,""
"667","Viktorie",7,"1951 1993 ","",NA,""
"668","Vilhelmine",36,"1921 2004 ","",NA,""
"669","Viola",10,"1949 2010 ","",NA,""
"670","Vitta",8,"1925 2010 ","",NA,""
"671","Vive",6,"1959 1999 ","",NA,""
"673","Vivi",72,"1944 2009 ","",NA,""
"674","Vivian",24,"1964 2010 ","",NA,""
"675","Winnie",9,"1952 2006 ","",NA,""
"676","Winona",5,"1996 2004 ","",NA,""
"677","Åse",8,"1958 2009 ","",NA,""
